date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:37:48	24/24	------	200	untouched ('OK')	text/plain	etag:%22696fe0b9-18%22	https://sms.zut.ac.zm/robots.txt		(from )
19:37:48	5446/5446	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Jan%202026%2017:26:35%20GMT	https://sms.zut.ac.zm/login	lab_site_clone/sms.zut.ac.zm/login.html	(from )
19:37:48	47633/47633	------	200	untouched ('OK')	text/css	etag:%22696fe0b9-ba11%22	https://sms.zut.ac.zm/global_assets/css/icons/icomoon/styles.css	lab_site_clone/sms.zut.ac.zm/global_assets/css/icons/icomoon/styles.css	(from https://sms.zut.ac.zm/login)
19:37:48	136230/136230	------	200	untouched ('OK')	text/css	etag:%22696fe0b9-21426%22	https://sms.zut.ac.zm/assets/css/bootstrap.min.css	lab_site_clone/sms.zut.ac.zm/assets/css/bootstrap.min.css	(from https://sms.zut.ac.zm/login)
19:37:48	78956/78956	------	200	untouched ('OK')	text/css	etag:%22696fe0b9-1346c%22	https://sms.zut.ac.zm/assets/css/bootstrap_limitless.min.css	lab_site_clone/sms.zut.ac.zm/assets/css/bootstrap_limitless.min.css	(from https://sms.zut.ac.zm/login)
19:37:48	29822/29822	------	200	untouched ('OK')	text/css	etag:%22696fe0b9-747e%22	https://sms.zut.ac.zm/assets/css/layout.min.css	lab_site_clone/sms.zut.ac.zm/assets/css/layout.min.css	(from https://sms.zut.ac.zm/login)
19:37:48	308025/308025	------	200	untouched ('OK')	text/css	etag:%22696fe0b9-4b339%22	https://sms.zut.ac.zm/assets/css/components.min.css	lab_site_clone/sms.zut.ac.zm/assets/css/components.min.css	(from https://sms.zut.ac.zm/login)
19:37:48	37642/37642	------	200	untouched ('OK')	text/css	etag:%22696fe0b9-930a%22	https://sms.zut.ac.zm/assets/css/colors.min.css	lab_site_clone/sms.zut.ac.zm/assets/css/colors.min.css	(from https://sms.zut.ac.zm/login)
19:37:48	86927/86927	------	200	untouched ('')	application/javascript	etag:%22696fe0b9-1538f%22	https://sms.zut.ac.zm/global_assets/js/main/jquery.min.js	lab_site_clone/sms.zut.ac.zm/global_assets/js/main/jquery.min.js	(from https://sms.zut.ac.zm/login)
19:37:48	70682/70682	------	200	untouched ('')	application/javascript	etag:%22696fe0b9-1141a%22	https://sms.zut.ac.zm/global_assets/js/main/bootstrap.bundle.min.js	lab_site_clone/sms.zut.ac.zm/global_assets/js/main/bootstrap.bundle.min.js	(from https://sms.zut.ac.zm/login)
19:37:48	9164/9164	------	200	untouched ('')	application/javascript	etag:%22696fe0b9-23cc%22	https://sms.zut.ac.zm/global_assets/js/plugins/loaders/blockui.min.js	lab_site_clone/sms.zut.ac.zm/global_assets/js/plugins/loaders/blockui.min.js	(from https://sms.zut.ac.zm/login)
19:37:48	8530/8530	------	200	untouched ('')	application/javascript	etag:%22696fe0b9-2152%22	https://sms.zut.ac.zm/global_assets/js/plugins/forms/styling/uniform.min.js	lab_site_clone/sms.zut.ac.zm/global_assets/js/plugins/forms/styling/uniform.min.js	(from https://sms.zut.ac.zm/login)
19:37:48	18871/18871	------	200	untouched ('')	application/javascript	etag:%22696fe0b9-49b7%22	https://sms.zut.ac.zm/assets/js/app.js	lab_site_clone/sms.zut.ac.zm/assets/js/app.js	(from https://sms.zut.ac.zm/login)
19:37:48	969/969	------	200	untouched ('')	application/javascript	etag:%22696fe0b9-3c9%22	https://sms.zut.ac.zm/global_assets/js/demo_pages/login.js	lab_site_clone/sms.zut.ac.zm/global_assets/js/demo_pages/login.js	(from https://sms.zut.ac.zm/login)
